,id,time,event,option1,sector,label,nr_jobs
6343,4100,30.0,Sun MicroSystem,Member Tech Staff,enterprise,search,10
6344,4100,33.0027,Sun MicroSystem,Staff Eng OpenGL 3D Graphics,enterprise,search,10
6345,4100,34.8384,Sun MicroSystem,Sr Staff Eng Mail Server Group,enterprise,search,10
6346,4100,35.6712,Sun MicroSystem,Sr Eng Manage Mail Server Unified Messaging,enterprise,search,10
6347,4100,36.6712,Sun MicroSystem,Sr Eng Manage Applied Server Performance,enterprise,search,10
6348,4100,38.0055,Sun MicroSystem,CTO iPlanet ECommerce Solution,enterprise,search,10
6349,4100,39.8411,Sun MicroSystem,Architect Java System Applied Server,enterprise,search,10
6350,4100,42.0082,Sun MicroSystem,Architect Java Integration Server,enterprise,search,10
6351,4100,44.011,Sun MicroSystem,Sr Eng Manage SunGrid OnDem compute,enterprise,search,10
6352,4100,45.011,Yahoo,Sr Eng Manage,search,search,10
