,id,time,event,option1,sector,label,nr_jobs
3441,2256,25.0,IBM,Sr Assoicate Program Manage,consulting,hardware,14
3442,2256,28.0849,IBM,Sr Associate Program Desktop Manage,consulting,hardware,14
3443,2256,29.0849,IBM,Staff Software Eng Test Lead,consulting,hardware,14
3444,2256,30.6712,IBM,Staff Software Eng System Manage,consulting,hardware,14
3445,2256,32.5918,IBM,Staff Software Eng Software,consulting,hardware,14
3446,2256,33.0055,IBM,Advisory Software Eng Manage Central,consulting,hardware,14
3447,2256,38.0904,IBM,Sr Software Eng IBM System Director,consulting,hardware,14
3448,2256,39.926,IBM,Sr Software Eng Electronic Customer Care,consulting,hardware,14
3449,2256,40.8493,IBM,Sr Software Eng Update Manage,consulting,hardware,14
3450,2256,43.4301,IBM,Sr Tech Staff Member Service Support Manage,consulting,hardware,14
3451,2256,47.263000000000005,IBM,Sr Tech Staff Member Service Architect,consulting,hardware,14
3452,2256,48.1836,IBM,Sr Tech Staff Member Release Architect,consulting,hardware,14
3453,2256,49.5178,IBM,Sr Tech Staff Member System Software Architect,consulting,hardware,14
3454,2256,50.5178,Lenovo,Sr Eng Staff Member,hardware,hardware,14
