,id,time,event,option1,sector,label,nr_jobs
4381,2824,24.0,Nokia,Field Test Eng Trouble Shooter,hardware,saas,12
4382,2824,25.7534,Nokia,Field Test Specialist,hardware,saas,12
4383,2824,27.3342,Nokia,Tech Account Manage,hardware,saas,12
4384,2824,28.2493,Nokia,Field Test Specialist,hardware,saas,12
4385,2824,30.0055,Nokia,Customer End User Test Manage,hardware,saas,12
4386,2824,31.4192,Nokia,Test Manage,hardware,saas,12
4387,2824,33.0904,Nokia,Sr Manage Customer Care,hardware,saas,12
4388,2824,35.0932,Nokia,Sr Manage Customer Care,hardware,saas,12
4389,2824,36.674,Nokia,Head Lumia China HW Quality Operation,hardware,saas,12
4390,2824,37.6767,Nokia,Director Lumia China Quality Operation,hardware,saas,12
4391,2824,39.3425,Microsoft,Director Lumia China Quality Operation,saas,saas,12
4392,2824,39.8438,Microsoft,Director HW Tech Quality Reliability,saas,saas,12
