,Unnamed: 0,time,event
0,0,0.0,2.0
1,1,0.0,0.0
2,2,0.0,2.0
3,3,0.0,4.0
4,4,0.0,3.0
5,5,0.0,4.0
6,6,1.1574074074074074e-14,2.0
7,7,1.1574074074074074e-14,2.0
8,8,1.1574074074074074e-14,4.0
9,9,1.1574074074074074e-14,1.0
10,10,1.1574074074074074e-14,3.0
11,11,1.1574074074074074e-14,4.0
12,12,1.1574074074074074e-14,4.0
13,13,1.1574074074074074e-14,3.0
14,14,1.1574074074074074e-14,4.0
15,15,2.3148148148148147e-14,4.0
16,16,2.3148148148148147e-14,2.0
17,17,2.3148148148148147e-14,1.0
18,18,2.3148148148148147e-14,3.0
19,19,2.3148148148148147e-14,1.0
20,20,2.3148148148148147e-14,1.0
21,21,2.3148148148148147e-14,0.0
22,22,2.3148148148148147e-14,1.0
23,23,3.4722222222222224e-14,0.0
24,24,3.4722222222222224e-14,4.0
25,25,3.4722222222222224e-14,3.0
26,26,3.4722222222222224e-14,2.0
27,27,3.4722222222222224e-14,1.0
28,28,3.4722222222222224e-14,4.0
29,29,3.4722222222222224e-14,3.0
30,30,4.6296296296296295e-14,2.0
31,31,4.6296296296296295e-14,3.0
32,32,4.6296296296296295e-14,3.0
33,33,4.6296296296296295e-14,0.0
34,34,4.6296296296296295e-14,2.0
35,35,4.6296296296296295e-14,4.0
36,36,4.6296296296296295e-14,1.0
37,37,4.6296296296296295e-14,4.0
38,38,4.6296296296296295e-14,1.0
39,39,4.6296296296296295e-14,4.0
40,40,4.6296296296296295e-14,3.0
41,41,4.6296296296296295e-14,2.0
42,42,4.6296296296296295e-14,4.0
43,43,4.6296296296296295e-14,1.0
44,44,5.787037037037037e-14,1.0
45,45,5.787037037037037e-14,0.0
46,46,5.787037037037037e-14,1.0
47,47,5.787037037037037e-14,2.0
48,48,5.787037037037037e-14,1.0
49,49,5.787037037037037e-14,4.0
50,50,5.787037037037037e-14,4.0
51,51,5.787037037037037e-14,0.0
52,52,5.787037037037037e-14,1.0
53,53,5.787037037037037e-14,3.0
54,54,5.787037037037037e-14,1.0
55,55,5.787037037037037e-14,2.0
56,56,5.787037037037037e-14,2.0
57,57,5.787037037037037e-14,0.0
58,58,5.787037037037037e-14,2.0
59,59,5.787037037037037e-14,3.0
60,60,6.944444444444445e-14,4.0
61,61,6.944444444444445e-14,4.0
62,62,6.944444444444445e-14,2.0
63,63,6.944444444444445e-14,1.0
64,64,6.944444444444445e-14,3.0
65,65,6.944444444444445e-14,4.0
66,66,6.944444444444445e-14,0.0
67,67,6.944444444444445e-14,3.0
68,68,6.944444444444445e-14,2.0
69,69,6.944444444444445e-14,3.0
70,70,6.944444444444445e-14,0.0
71,71,6.944444444444445e-14,4.0
72,72,6.944444444444445e-14,0.0
73,73,6.944444444444445e-14,0.0
74,74,6.944444444444445e-14,2.0
75,75,6.944444444444445e-14,4.0
76,76,6.944444444444445e-14,4.0
77,77,6.944444444444445e-14,2.0
78,78,6.944444444444445e-14,2.0
79,79,6.944444444444445e-14,2.0
80,80,6.944444444444445e-14,4.0
81,81,6.944444444444445e-14,2.0
82,82,6.944444444444445e-14,1.0
83,83,6.944444444444445e-14,1.0
84,84,6.944444444444445e-14,0.0
85,85,6.944444444444445e-14,2.0
86,86,6.944444444444445e-14,3.0
87,87,6.944444444444445e-14,1.0
88,88,6.944444444444445e-14,3.0
89,89,6.944444444444445e-14,0.0
90,90,6.944444444444445e-14,1.0
91,91,6.944444444444445e-14,1.0
92,92,6.944444444444445e-14,0.0
93,93,6.944444444444445e-14,1.0
94,94,6.944444444444445e-14,2.0
95,95,6.944444444444445e-14,1.0
96,96,6.944444444444445e-14,4.0
97,97,6.944444444444445e-14,2.0
98,98,6.944444444444445e-14,4.0
99,99,6.944444444444445e-14,3.0
100,100,6.944444444444445e-14,3.0
101,101,6.944444444444445e-14,3.0
102,102,8.101851851851852e-14,4.0
103,103,8.101851851851852e-14,3.0
104,104,8.101851851851852e-14,2.0
105,105,8.101851851851852e-14,4.0
106,106,8.101851851851852e-14,4.0
107,107,8.101851851851852e-14,3.0
108,108,8.101851851851852e-14,2.0
109,109,8.101851851851852e-14,3.0
110,110,8.101851851851852e-14,3.0
111,111,8.101851851851852e-14,4.0
112,112,8.101851851851852e-14,1.0
113,113,8.101851851851852e-14,4.0
114,114,8.101851851851852e-14,2.0
115,115,8.101851851851852e-14,1.0
116,116,8.101851851851852e-14,1.0
117,117,8.101851851851852e-14,3.0
118,118,8.101851851851852e-14,4.0
119,119,8.101851851851852e-14,2.0
120,120,8.101851851851852e-14,3.0
121,121,8.101851851851852e-14,3.0
122,122,8.101851851851852e-14,2.0
123,123,8.101851851851852e-14,1.0
124,124,8.101851851851852e-14,2.0
125,125,8.101851851851852e-14,3.0
126,126,8.101851851851852e-14,0.0
127,127,8.101851851851852e-14,1.0
128,128,8.101851851851852e-14,3.0
129,129,8.101851851851852e-14,0.0
130,130,8.101851851851852e-14,2.0
131,131,8.101851851851852e-14,4.0
132,132,8.101851851851852e-14,2.0
133,133,8.101851851851852e-14,2.0
134,134,8.101851851851852e-14,4.0
135,135,8.101851851851852e-14,4.0
136,136,8.101851851851852e-14,1.0
137,137,8.101851851851852e-14,2.0
138,138,8.101851851851852e-14,3.0
139,139,8.101851851851852e-14,1.0
140,140,8.101851851851852e-14,3.0
141,141,8.101851851851852e-14,4.0
142,142,8.101851851851852e-14,2.0
143,143,8.101851851851852e-14,4.0
144,144,8.101851851851852e-14,1.0
145,145,8.101851851851852e-14,1.0
146,146,8.101851851851852e-14,2.0
147,147,8.101851851851852e-14,2.0
148,148,8.101851851851852e-14,1.0
149,149,8.101851851851852e-14,4.0
150,150,8.101851851851852e-14,4.0
151,151,8.101851851851852e-14,0.0
152,152,8.101851851851852e-14,4.0
153,153,8.101851851851852e-14,2.0
154,154,8.101851851851852e-14,2.0
155,155,8.101851851851852e-14,4.0
156,156,8.101851851851852e-14,0.0
157,157,8.101851851851852e-14,2.0
158,158,8.101851851851852e-14,4.0
159,159,8.101851851851852e-14,4.0
160,160,8.101851851851852e-14,3.0
161,161,8.101851851851852e-14,4.0
162,162,8.101851851851852e-14,1.0
163,163,8.101851851851852e-14,1.0
164,164,9.259259259259259e-14,2.0
165,165,9.259259259259259e-14,0.0
166,166,9.259259259259259e-14,1.0
