,time,event0,event1,event2
0,0,-0.36195272,3.4059946537017822,-0.23180842399597168
1,1,0.732277,3.4059946537017822,-0.23180842399597168
2,2,-0.86238205,3.4059946537017822,-0.23180842399597168
3,3,-0.16831109,3.4059946537017822,-0.23180842399597168
4,4,-0.53085876,3.4059946537017822,-0.23180842399597168
5,5,0.36885282,3.4059946537017822,-0.23180842399597168
6,6,-0.023599943,3.4059946537017822,-0.23180842399597168
7,7,-0.5752792,3.4059946537017822,-0.23180842399597168
8,8,-0.56566745,3.4059946537017822,-0.23180842399597168
9,9,-0.24704403,3.4059946537017822,-0.23180842399597168
