,time,event0,event1,event2
0,0,0.9306998,0.8906858563423157,-0.5938296914100647
1,1,-0.5055871,0.8906858563423157,-0.5938296914100647
2,2,-0.45878017,0.8906858563423157,-0.5938296914100647
3,3,0.89736634,0.8906858563423157,-0.5938296914100647
4,4,-0.162476,0.8906858563423157,-0.5938296914100647
5,5,0.42754817,0.8906858563423157,-0.5938296914100647
6,6,-0.087355606,0.8906858563423157,-0.5938296914100647
7,7,0.6342612,0.8906858563423157,-0.5938296914100647
8,8,0.66331935,0.8906858563423157,-0.5938296914100647
9,9,0.09883057,0.8906858563423157,-0.5938296914100647
