,time,event0,event1,event2
0,0,0.8802463,3.4059946537017822,-0.6510295271873474
1,1,-0.6931102,3.4059946537017822,-0.6510295271873474
2,2,0.3698925,3.4059946537017822,-0.6510295271873474
3,3,-0.21410649,3.4059946537017822,-0.6510295271873474
4,4,0.007830707,3.4059946537017822,-0.6510295271873474
5,5,0.5891563,3.4059946537017822,-0.6510295271873474
6,6,-0.346841,3.4059946537017822,-0.6510295271873474
7,7,0.46798098,3.4059946537017822,-0.6510295271873474
8,8,0.25322664,3.4059946537017822,-0.6510295271873474
9,9,0.123630375,3.4059946537017822,-0.6510295271873474
