,time,event0,event1,event2
0,0,0.2387904,1.4727745056152344,-0.36703717708587646
1,1,-0.85814375,1.4727745056152344,-0.36703717708587646
2,2,-0.57289624,1.4727745056152344,-0.36703717708587646
3,3,-0.37371358,1.4727745056152344,-0.36703717708587646
4,4,-0.41418695,1.4727745056152344,-0.36703717708587646
5,5,0.8048238,1.4727745056152344,-0.36703717708587646
6,6,-0.3496936,1.4727745056152344,-0.36703717708587646
7,7,-0.5022156,1.4727745056152344,-0.36703717708587646
8,8,0.6683351,1.4727745056152344,-0.36703717708587646
9,9,-0.23004872,1.4727745056152344,-0.36703717708587646
