,time,event0,event1,event2
0,0,0.12293283,3.4059946537017822,0.37860769033432007
1,1,-0.551219,3.4059946537017822,0.37860769033432007
2,2,-0.6314132,3.4059946537017822,0.37860769033432007
3,3,-0.8742675,3.4059946537017822,0.37860769033432007
4,4,0.06629208,3.4059946537017822,0.37860769033432007
5,5,0.83949816,3.4059946537017822,0.37860769033432007
6,6,0.38968325,3.4059946537017822,0.37860769033432007
7,7,0.4724162,3.4059946537017822,0.37860769033432007
8,8,-0.9184905,3.4059946537017822,0.37860769033432007
9,9,0.6857871,3.4059946537017822,0.37860769033432007
