,Unnamed: 0,time,event
0,0,0.0,4.0
1,1,0.0,4.0
2,2,0.0,4.0
3,3,0.0,0.0
4,4,1.1574074074074074e-14,4.0
5,5,1.1574074074074074e-14,0.0
6,6,2.3148148148148147e-14,1.0
7,7,2.3148148148148147e-14,0.0
8,8,2.3148148148148147e-14,4.0
9,9,2.3148148148148147e-14,0.0
10,10,3.4722222222222224e-14,2.0
11,11,3.4722222222222224e-14,0.0
12,12,3.4722222222222224e-14,0.0
13,13,3.4722222222222224e-14,2.0
14,14,3.4722222222222224e-14,2.0
15,15,6.944444444444445e-14,4.0
16,16,6.944444444444445e-14,0.0
17,17,6.944444444444445e-14,2.0
18,18,6.944444444444445e-14,4.0
19,19,8.101851851851852e-14,0.0
20,20,8.101851851851852e-14,2.0
21,21,8.101851851851852e-14,4.0
22,22,9.259259259259259e-14,0.0
23,23,9.259259259259259e-14,4.0
24,24,1.0416666666666666e-13,4.0
25,25,1.0416666666666666e-13,2.0
26,26,1.0416666666666666e-13,4.0
27,27,1.0416666666666666e-13,4.0
28,28,1.0416666666666666e-13,3.0
29,29,1.1574074074074073e-13,1.0
30,30,1.1574074074074073e-13,2.0
31,31,1.1574074074074073e-13,4.0
32,32,1.1574074074074073e-13,4.0
33,33,1.2731481481481483e-13,0.0
34,34,1.388888888888889e-13,2.0
35,35,1.388888888888889e-13,1.0
36,36,1.5046296296296297e-13,1.0
37,37,1.5046296296296297e-13,3.0
38,38,1.5046296296296297e-13,0.0
39,39,1.5046296296296297e-13,2.0
40,40,1.6203703703703704e-13,2.0
41,41,1.6203703703703704e-13,2.0
42,42,1.6203703703703704e-13,4.0
43,43,1.736111111111111e-13,2.0
44,44,1.736111111111111e-13,2.0
45,45,1.736111111111111e-13,2.0
46,46,1.8518518518518518e-13,2.0
47,47,1.8518518518518518e-13,4.0
48,48,1.9675925925925925e-13,4.0
49,49,1.9675925925925925e-13,4.0
50,50,2.0833333333333332e-13,0.0
51,51,2.0833333333333332e-13,3.0
52,52,2.1990740740740742e-13,1.0
53,53,2.1990740740740742e-13,4.0
