,cluster_id,time,seqlength,coh_cluster
0,0,0.05735,80,0
1,0,0.05735,87,0
2,0,0.05735,119,0
3,0,0.05735,107,0
4,0,0.05735,100,0
5,0,0.05735,82,0
6,0,0.05735,124,0
7,0,0.05735,107,0
8,0,0.05735,108,0
9,0,0.05735,118,0
10,0,0.05735,104,0
11,0,0.05735,132,0
12,0,0.05735,107,0
13,0,0.05735,92,0
14,0,0.05735,139,0
15,0,0.05735,69,0
16,0,0.05735,114,0
17,0,0.05735,85,0
18,0,0.05735,86,0
19,0,0.05735,99,0
20,0,0.05735,78,0
21,0,0.05735,100,0
22,0,0.05735,86,0
23,0,0.05735,124,0
24,0,0.05735,102,0
25,0,0.05735,77,0
26,0,0.05735,82,0
27,0,0.05735,101,0
28,0,0.05735,102,0
29,0,0.05735,81,0
30,0,0.05735,97,0
31,0,0.05735,107,0
32,0,0.05735,97,0
33,0,0.05735,93,0
34,0,0.05735,120,0
35,0,0.05735,88,0
36,0,0.05735,67,0
37,0,0.05735,98,0
38,0,0.05735,83,0
39,0,0.05735,97,0
40,0,0.05735,98,0
41,0,0.05735,98,0
42,0,0.05735,83,0
43,0,0.05735,100,0
44,0,0.05735,59,0
45,0,0.05735,106,0
46,0,0.05735,96,0
47,0,0.05735,120,0
48,0,0.05735,78,0
49,0,0.05735,88,0
50,0,0.05735,123,0
51,0,0.05735,92,0
52,0,0.05735,101,0
53,0,0.05735,84,0
54,0,0.05735,90,0
55,0,0.05735,77,0
56,0,0.05735,109,0
57,0,0.05735,108,0
58,0,0.05735,109,0
59,0,0.05735,85,0
60,0,0.05735,104,0
61,0,0.05735,118,0
62,0,0.05735,73,0
63,0,0.05735,91,0
64,0,0.05735,69,0
65,0,0.05735,125,0
66,0,0.05735,89,0
67,0,0.05735,126,0
68,0,0.05735,98,0
69,0,0.05735,111,0
70,0,0.05735,116,0
71,0,0.05735,97,0
72,0,0.05735,126,0
73,0,0.05735,92,0
74,0,0.05735,120,0
75,0,0.05735,92,0
76,0,0.05735,94,0
77,0,0.05735,82,0
78,0,0.05735,91,0
79,0,0.05735,130,0
80,0,0.05735,101,0
81,0,0.05735,106,0
82,0,0.05735,84,0
83,0,0.05735,107,0
84,0,0.05735,85,0
85,0,0.05735,90,0
86,0,0.05735,94,0
87,0,0.05735,132,0
88,0,0.05735,96,0
89,0,0.05735,119,0
90,0,0.05735,79,0
91,0,0.05735,63,0
92,0,0.05735,91,0
93,0,0.05735,84,0
94,0,0.05735,70,0
95,0,0.05735,89,0
96,0,0.05735,91,0
97,0,0.05735,107,0
98,0,0.05735,100,0
99,0,0.05735,72,0
100,0,0.05735,107,0
101,0,0.05735,118,0
102,0,0.05735,112,0
103,0,0.05735,98,0
104,0,0.05735,100,0
105,0,0.05735,86,0
106,0,0.05735,69,0
107,0,0.05735,129,0
108,0,0.05735,110,0
109,0,0.05735,129,0
110,0,0.05735,80,0
111,0,0.05735,103,0
112,0,0.05735,93,0
113,0,0.05735,112,0
114,0,0.05735,101,0
115,0,0.05735,95,0
116,0,0.05735,106,0
117,0,0.05735,118,0
