,time,city_id
68399,0.0,62929
68400,3.0,45025
68401,4.0,36020
68402,7.0,45025
68403,9.0,11764
68404,10.0,10489
68405,31.0,7410
68406,33.0,27707
68407,34.0,472
68408,35.0,43256
68409,36.0,37885
68410,37.0,22842
68411,40.0,41806
68412,42.0,43736
68413,43.0,64091
68414,45.0,66794
68415,47.0,13356
68416,48.0,64091
68417,49.0,43607
68418,50.0,4832
68419,52.0,36425
68420,53.0,36573
68421,54.0,30836
68422,56.0,67365
68423,57.0,57931
68424,64.0,38324
68425,65.0,38324
68426,67.0,47486
68427,68.0,6582
68428,90.0,62611
68429,94.0,45325
68430,97.0,42356
68431,99.0,45047
