,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
0,0,8.83188,50,1,1,152.77075,6,151.52233,1,162.80736,-1,152.37751
1,0,8.83188,50,1,1,152.77075,1,151.52233,1,162.80736,-1,152.37751
2,0,8.83188,50,1,1,152.77075,19,151.52233,1,162.80736,-1,152.37751
3,0,8.83188,50,1,1,152.77075,14,151.52233,1,162.80736,-1,152.37751
4,0,8.83188,50,1,1,152.77075,19,151.52233,1,162.80736,-1,152.37751
5,0,8.83188,50,1,1,152.77075,14,151.52233,1,162.80736,-1,152.37751
6,0,8.83188,50,1,1,152.77075,14,151.52233,1,162.80736,-1,152.37751
7,0,8.83188,50,1,1,152.77075,21,151.52233,1,162.80736,-1,152.37751
8,0,8.83188,50,1,1,152.77075,7,151.52233,1,162.80736,-1,152.37751
9,0,8.83188,50,1,1,152.77075,12,151.52233,1,162.80736,-1,152.37751
10,0,8.83188,50,1,1,152.77075,21,151.52233,1,162.80736,-1,152.37751
11,0,8.83188,50,1,1,152.77075,8,151.52233,1,162.80736,-1,152.37751
12,0,8.83188,50,1,1,152.77075,13,151.52233,1,162.80736,-1,152.37751
13,0,8.83188,50,1,1,152.77075,4,151.52233,1,162.80736,-1,152.37751
14,0,8.83188,50,1,1,152.77075,16,151.52233,1,162.80736,-1,152.37751
15,0,8.83188,50,1,1,152.77075,19,151.52233,1,162.80736,-1,152.37751
16,0,8.83188,50,1,1,152.77075,6,151.52233,1,162.80736,-1,152.37751
17,0,8.83188,50,1,1,152.77075,21,151.52233,1,162.80736,-1,152.37751
18,0,8.83188,50,1,1,152.77075,5,151.52233,1,162.80736,-1,152.37751
19,0,8.83188,50,1,1,152.77075,9,151.52233,1,162.80736,-1,152.37751
20,0,8.83188,50,1,1,152.77075,19,151.52233,1,162.80736,-1,152.37751
21,0,8.83188,50,1,1,152.77075,16,151.52233,1,162.80736,-1,152.37751
22,0,8.83188,50,1,1,152.77075,12,151.52233,1,162.80736,-1,152.37751
23,0,8.83188,50,1,1,152.77075,21,151.52233,1,162.80736,-1,152.37751
24,0,8.83188,50,1,1,152.77075,12,151.52233,1,162.80736,-1,152.37751
25,0,8.83188,50,1,1,152.77075,3,151.52233,1,162.80736,-1,152.37751
26,0,8.83188,50,1,1,152.77075,19,151.52233,1,162.80736,-1,152.37751
27,0,8.83188,50,1,1,152.77075,21,151.52233,1,162.80736,-1,152.37751
28,0,8.83188,50,1,1,152.77075,7,151.52233,1,162.80736,-1,152.37751
29,0,8.83188,50,1,1,152.77075,14,151.52233,1,162.80736,-1,152.37751
30,0,8.83188,50,1,1,152.77075,8,151.52233,1,162.80736,-1,152.37751
