,time,event0,event1,event2
0,0,-0.8013443,3.6219701766967773,-0.7412700653076172
1,1,-0.98208857,3.6219701766967773,-0.7412700653076172
2,2,-0.9903753,3.6219701766967773,-0.7412700653076172
3,3,0.24730466,3.6219701766967773,-0.7412700653076172
4,4,0.9627188,3.6219701766967773,-0.7412700653076172
5,5,0.45998636,3.6219701766967773,-0.7412700653076172
6,6,0.25343257,3.6219701766967773,-0.7412700653076172
7,7,0.51420945,3.6219701766967773,-0.7412700653076172
8,8,0.4699568,3.6219701766967773,-0.7412700653076172
9,9,0.54267716,3.6219701766967773,-0.7412700653076172
10,10,0.0,3.6219701766967773,-0.7412700653076172
