,time,event0,event1,event2
0,0,0.7682275,3.6219701766967773,-0.1331605464220047
1,1,-0.068268664,3.6219701766967773,-0.1331605464220047
2,2,0.8969068,3.6219701766967773,-0.1331605464220047
3,3,-0.30152798,3.6219701766967773,-0.1331605464220047
4,4,-0.5437119,3.6219701766967773,-0.1331605464220047
5,5,0.08626643,3.6219701766967773,-0.1331605464220047
6,6,0.28364366,3.6219701766967773,-0.1331605464220047
7,7,0.7761374,3.6219701766967773,-0.1331605464220047
8,8,0.36353627,3.6219701766967773,-0.1331605464220047
9,9,0.95744705,3.6219701766967773,-0.1331605464220047
10,10,0.0,3.6219701766967773,-0.1331605464220047
