,time,event0,event1,event2
0,0,0.83524716,2.264497995376587,-0.38510340452194214
1,1,-0.34638736,2.264497995376587,-0.38510340452194214
2,2,0.22552238,2.264497995376587,-0.38510340452194214
3,3,-0.25972667,2.264497995376587,-0.38510340452194214
4,4,-0.66439575,2.264497995376587,-0.38510340452194214
5,5,0.8262024,2.264497995376587,-0.38510340452194214
6,6,0.1915102,2.264497995376587,-0.38510340452194214
7,7,-0.14175814,2.264497995376587,-0.38510340452194214
8,8,-0.32517043,2.264497995376587,-0.38510340452194214
9,9,-0.11224706,2.264497995376587,-0.38510340452194214
10,10,0.0,2.264497995376587,-0.38510340452194214
