,Unnamed: 0,Unnamed: 0.1,time,event
0,0,0,0,0
1,1,1,2,23
2,2,2,2,0
3,3,3,3,0
4,4,4,4,0
5,5,5,7,0
6,6,6,8,0
7,7,7,12,1
8,8,8,12,0
9,9,9,13,0
10,10,10,14,7
11,11,11,15,0
12,12,12,16,0
13,13,13,18,0
14,14,14,19,0
15,15,15,20,3
16,16,16,20,1
17,17,17,20,0
18,18,18,21,0
19,19,19,23,0
20,20,20,24,0
21,21,21,25,0
22,22,22,26,7
23,23,23,27,0
24,24,24,31,1
25,25,25,34,1
26,26,26,34,0
27,27,27,34,7
28,28,28,36,0
29,29,29,37,0
30,30,30,38,1
31,31,31,40,0
32,32,32,42,0
33,33,33,45,0
34,34,34,46,0
35,35,35,47,1
36,36,36,47,0
37,37,37,49,1
38,38,38,50,0
39,39,39,51,0
40,40,40,52,0
41,41,41,53,0
42,42,42,55,0
43,43,43,57,0
44,44,44,58,0
45,45,45,59,0
46,46,46,60,0
47,47,47,62,0
48,48,48,63,0
49,49,49,65,0
50,50,50,66,0
51,51,51,67,0
52,52,52,69,0
53,53,53,70,0
54,54,54,72,0
55,55,55,73,0
56,56,56,74,0
57,57,57,75,0
58,58,58,76,0
59,59,59,77,0
60,60,60,78,0
61,61,61,79,0
62,62,62,79,7
63,63,63,80,0
64,64,64,81,0
65,65,65,84,0
66,66,66,86,3
67,67,67,86,0
68,68,68,87,0
69,69,69,88,0
70,70,70,90,1
71,71,71,90,0
72,72,72,91,0
73,73,73,93,0
74,74,74,96,0
75,75,75,98,0
76,76,76,100,0
77,77,77,102,1
78,78,78,102,0
79,79,79,103,0
80,80,80,104,0
81,81,81,105,0
82,82,82,106,0
83,83,83,107,0
84,84,84,108,0
85,85,85,109,0
86,86,86,110,0
87,87,87,111,3
88,88,88,111,0
89,89,89,112,0
90,90,90,113,0
91,91,91,115,0
92,92,92,116,0
93,93,93,117,0
94,94,94,118,0
95,95,95,119,2
96,96,96,119,0
97,97,97,120,0
98,98,98,121,0
99,99,99,122,0
100,100,100,123,2
101,101,101,123,0
102,102,102,124,0
103,103,103,125,1
104,104,104,125,0
105,105,105,126,1
106,106,106,126,0
107,107,107,128,0
108,108,108,129,0
109,109,109,130,0
110,110,110,131,39
111,111,111,131,0
112,112,112,131,7
113,113,113,132,0
114,114,114,133,0
115,115,115,134,0
116,116,116,135,0
117,117,117,136,0
118,118,118,138,0
119,119,119,139,0
120,120,120,140,0
121,121,121,141,0
122,122,122,142,0
123,123,123,143,0
124,124,124,144,3
125,125,125,144,0
126,126,126,145,0
127,127,127,146,0
128,128,128,147,0
129,129,129,147,7
130,130,130,148,0
131,131,131,149,0
132,132,132,150,0
133,133,133,151,3
134,134,134,151,12
135,135,135,151,0
136,136,136,152,1
137,137,137,152,0
138,138,138,153,0
139,139,139,154,0
140,140,140,155,0
141,141,141,157,0
142,142,142,158,0
143,143,143,159,0
144,144,144,160,0
145,145,145,161,0
146,146,146,162,0
147,147,147,164,0
148,148,148,165,45
149,149,149,165,0
150,150,150,166,0
151,151,151,167,0
152,152,152,168,0
153,153,153,169,0
154,154,154,170,0
155,155,155,171,3
156,156,156,171,1
157,157,157,171,0
158,158,158,172,0
159,159,159,173,0
160,160,160,174,0
161,161,161,175,0
162,162,162,175,7
163,163,163,176,0
164,164,164,177,0
165,165,165,178,0
166,166,166,179,2
167,167,167,179,0
168,168,168,180,0
169,169,169,181,0
170,170,170,182,1
171,171,171,182,0
172,172,172,183,0
173,173,173,184,2
174,174,174,184,0
175,175,175,185,0
176,176,176,186,1
177,177,177,186,0
178,178,178,187,0
179,179,179,188,0
180,180,180,189,0
181,181,181,190,0
182,182,182,191,3
183,183,183,191,0
184,184,184,191,7
185,185,185,192,0
186,186,186,193,0
187,187,187,194,0
188,188,188,195,0
189,189,189,196,0
190,190,190,197,0
191,191,191,198,0
192,192,192,199,0
193,193,193,201,0
194,194,194,202,1
195,195,195,202,0
196,196,196,203,0
197,197,197,204,0
198,198,198,205,0
199,199,199,206,0
200,200,200,207,0
201,201,201,208,0
202,202,202,209,0
203,203,203,210,3
204,204,204,210,12
205,205,205,210,0
206,206,206,212,0
207,207,207,213,1
208,208,208,213,0
209,209,209,214,0
210,210,210,215,0
211,211,211,216,0
212,212,212,217,0
213,213,213,218,0
214,214,214,219,3
215,215,215,219,0
216,216,216,220,0
217,217,217,221,0
218,218,218,222,0
219,219,219,223,15
220,220,220,224,0
221,221,221,226,1
222,222,222,226,0
223,223,223,228,0
224,224,224,229,15
225,225,225,229,14
226,226,226,229,0
227,227,227,229,7
228,228,228,233,0
229,229,229,234,0
230,231,231,235,7
231,232,232,236,0
232,233,233,237,1
233,234,234,237,0
234,235,235,238,3
235,236,236,238,0
236,237,237,238,7
237,238,238,239,0
238,239,239,240,2
239,240,240,240,0
240,241,241,241,0
241,242,242,242,0
242,243,243,243,0
243,244,244,245,0
244,245,245,246,0
245,246,246,247,23
246,247,247,247,1
247,248,248,247,0
248,249,249,250,0
249,250,250,251,3
250,251,251,251,1
251,252,252,251,0
252,253,253,252,1
253,254,254,252,0
254,255,255,253,0
255,256,256,254,0
256,257,257,255,0
257,258,258,256,0
258,259,259,257,0
259,260,260,258,0
260,261,261,259,0
261,262,262,261,0
262,263,263,262,1
263,264,264,262,0
264,265,265,263,4
265,266,266,263,0
266,267,267,265,0
267,268,268,266,31
268,269,269,266,0
269,270,270,267,1
270,271,271,267,0
271,272,272,268,0
272,273,273,269,0
273,274,274,270,1
274,275,275,270,0
275,276,276,271,0
276,277,277,272,0
277,278,278,273,0
278,279,279,274,0
279,280,280,275,3
280,281,281,275,0
281,282,282,277,0
282,283,283,278,0
283,284,284,279,0
284,285,285,280,0
285,286,286,281,0
286,287,287,282,0
287,288,288,285,3
288,289,289,285,0
289,290,290,285,7
290,291,291,286,0
291,292,292,287,2
292,293,293,287,0
293,294,294,288,0
294,295,295,289,0
295,296,296,290,0
296,297,297,291,3
297,298,298,291,0
298,299,299,292,0
299,300,300,293,1
300,301,301,293,0
301,302,302,294,0
302,303,303,295,0
303,304,304,296,0
304,305,305,297,0
305,306,306,298,0
306,307,307,299,0
307,308,308,302,0
308,309,309,303,0
309,310,310,304,1
310,311,311,304,0
311,312,312,306,0
312,313,313,307,0
313,314,314,308,1
314,315,315,308,0
315,316,316,309,0
316,317,317,311,0
317,318,318,312,0
318,319,319,315,0
319,320,320,316,2
320,321,321,316,1
321,322,322,316,0
322,323,323,317,0
323,324,324,318,0
324,325,325,319,0
325,326,326,320,3
326,327,327,320,0
327,328,328,321,19
