,time,event0,event1,event2
0,0,-0.7501494,3.6219701766967773,-0.14694319665431976
1,1,-0.20504268,3.6219701766967773,-0.14694319665431976
2,2,0.77463895,3.6219701766967773,-0.14694319665431976
3,3,0.4440352,3.6219701766967773,-0.14694319665431976
4,4,-0.642478,3.6219701766967773,-0.14694319665431976
5,5,-0.8536936,3.6219701766967773,-0.14694319665431976
6,6,0.0633219,3.6219701766967773,-0.14694319665431976
7,7,0.1753915,3.6219701766967773,-0.14694319665431976
8,8,0.76627815,3.6219701766967773,-0.14694319665431976
9,9,0.48128223,3.6219701766967773,-0.14694319665431976
10,10,1.0,3.6219701766967773,-0.14694319665431976
