,time,event0,event1,event2
0,0,-0.6395905,3.1701948642730713,-0.14118844270706177
1,1,-0.43762928,3.1701948642730713,-0.14118844270706177
2,2,0.06946318,3.1701948642730713,-0.14118844270706177
3,3,-0.083953775,3.1701948642730713,-0.14118844270706177
4,4,-0.80048996,3.1701948642730713,-0.14118844270706177
5,5,0.24630883,3.1701948642730713,-0.14118844270706177
6,6,-0.44266623,3.1701948642730713,-0.14118844270706177
7,7,-0.037073694,3.1701948642730713,-0.14118844270706177
8,8,0.9863296,3.1701948642730713,-0.14118844270706177
9,9,0.886666,3.1701948642730713,-0.14118844270706177
10,10,1.0,3.1701948642730713,-0.14118844270706177
