,time,event0,event1,event2
0,0,0.43868223,3.6219701766967773,0.32662391662597656
1,1,0.3874834,3.6219701766967773,0.32662391662597656
2,2,-0.010378926,3.6219701766967773,0.32662391662597656
3,3,-0.60557884,3.6219701766967773,0.32662391662597656
4,4,0.09961735,3.6219701766967773,0.32662391662597656
5,5,-0.89818835,3.6219701766967773,0.32662391662597656
6,6,-0.9491883,3.6219701766967773,0.32662391662597656
7,7,-0.9302339,3.6219701766967773,0.32662391662597656
8,8,0.414672,3.6219701766967773,0.32662391662597656
9,9,-0.6083692,3.6219701766967773,0.32662391662597656
10,10,0.0,3.6219701766967773,0.32662391662597656
